期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
2022043,2022-04-19(二),"02,17,20,23,25,27",08,9,6718875,54,358098,1312,3000,66237,200,1274684,10,12865148,5,"浙江1注,江西1注,山东2注,广东2注,贵州1注,云南2注,共9注。",1883060805
2022042,2022-04-17(日),"05,10,11,21,22,30",13,10,7059021,175,147072,1624,3000,77105,200,1574277,10,9121844,5,"北京1注,山西1注,江苏2注,浙江1注,四川3注,陕西2注,共10注。",1885518647
2022041,2022-04-14(四),"05,07,21,22,24,29",14,4,10000000,57,504454,799,3000,47352,200,1061711,10,6631431,5,"辽宁1注,黑龙江1注,重庆2注,共4注。",1878895566
2022040,2022-04-12(二),"03,12,14,16,31,33",12,15,5830283,119,130821,1322,3000,72884,200,1344156,10,14783565,5,"北京1注,内蒙古1注,江苏1注,安徽1注,江西1注,山东1注,重庆2注,湖北4注,广东1注,贵州1注,陕西1注,共15注。",1832633915
2022039,2022-04-10(日),"02,06,07,10,15,20",05,5,9112790,177,145225,1693,3000,79297,200,1476259,10,9056092,5,"北京2注,浙江1注,福建1注,山东1注,共5注。",1873384741
2022038,2022-04-07(四),"09,12,13,16,24,32",04,5,8932134,67,366803,1024,3000,54426,200,1110914,10,9514398,5,"安徽1注,江西1注,山东1注,重庆1注,广东1注,共5注。",1841833878
2022037,2022-04-05(二),"01,10,13,20,22,32",14,3,10000000,74,372366,677,3000,39417,200,861539,10,6847023,5,"浙江1注,福建1注,重庆1注,共3注。",1812767035
2022036,2022-04-03(日),"02,03,14,16,26,31",02,7,8039081,110,241745,1112,3000,59635,200,1183135,10,8795969,5,"北京1注,山东1注,重庆1注,广东4注,共7注。",1760101650
2022035,2022-03-31(四),"08,12,13,19,23,25",15,8,7126487,169,125827,1773,3000,82237,200,1421190,10,10443059,5,"河北1注,浙江1注,福建1注,山东1注,河南2注,四川1注,贵州1注,共8注。",1736599330
2022034,2022-03-29(二),"14,17,26,31,32,33",10,9,7033420,49,466856,1083,3000,52816,200,1034743,10,12273697,5,"辽宁6注,吉林1注,江西1注,山东1注,共9注。",1729816605
2022033,2022-03-27(日),"05,12,19,22,25,26",05,11,6853773,192,132757,2019,3000,95725,200,1666450,10,9653032,5,"河北2注,浙江1注,山东1注,河南2注,湖北1注,海南1注,四川1注,贵州1注,云南1注,共11注。",1724489453
2022032,2022-03-24(四),"04,10,11,14,23,32",07,7,8228322,54,523107,968,3000,50898,200,1036778,10,8573311,5,"上海1注,安徽1注,四川5注,共7注。",1723412804
2022031,2022-03-22(二),"01,10,11,22,26,32",07,28,5507246,296,59978,1856,3000,87709,200,1466943,10,12841213,5,"山西2注,江苏1注,浙江4注,安徽2注,河南3注,湖北1注,广东1注,贵州1注,云南12注,陕西1注,共28注。",1696267600
2022030,2022-03-20(日),"12,23,24,26,27,30",05,18,5942310,55,385490,1634,3000,73945,200,1392454,10,13252504,5,"浙江1注,山东5注,广东12注,共18注。",1797209652
2022029,2022-03-17(四),"03,08,10,13,26,32",08,10,6314985,105,156545,1906,3000,92362,200,1645192,10,13440677,5,"天津1注,山西1注,江苏2注,浙江1注,安徽2注,湖北2注,广东1注,共10注。",1840565291
2022028,2022-03-15(二),"05,11,20,22,23,29",09,9,6991710,330,67899,1371,3000,82678,200,1572608,10,10054350,5,"山西1注,广东7注,陕西1注,共9注。",1854403191
2022027,2022-03-13(日),"14,15,18,19,26,32",09,3,10000000,74,270324,1422,3000,83144,200,1496532,10,16752819,5,"上海2注,云南1注,共3注。",1850108360
2022026,2022-03-10(四),"03,04,10,15,22,24",02,10,7519808,129,244167,1096,3000,60656,200,1226877,10,7547686,5,"内蒙古1注,江苏1注,浙江2注,福建1注,山东1注,广东2注,海南1注,深圳1注,共10注。",1820096321
2022025,2022-03-08(二),"06,19,24,25,28,32",04,1,10000000,98,261907,1184,3000,65320,200,1271944,10,10842155,5,"湖南1注,共1注。",1800801596
2022024,2022-03-06(日),"07,09,10,14,19,24",15,2,10000000,154,187504,1455,3000,82140,200,1599856,10,9964007,5,"山东1注,湖北1注,共2注。",1733800692
2022023,2022-03-03(四),"07,12,17,19,24,25",02,9,7444170,98,280580,1288,3000,70720,200,1393074,10,9472092,5,"山西1注,吉林1注,浙江1注,湖北1注,广东5注,共9注。",1667173674
